"rt","responses","trial_type","time_elapsed","sequence","stimulus","graphorder","button_pressed","response","key_press","stimulus_left","stimulus_right","accuracy","cumulative_accuracy","stimulus_down_left","stimulus_down_mid","stimulus_down_right","stimulus_correct","stimulus_short","stimulus_far","weighted_accuracy","condition","specific_pairs","imgL_ID","imgR_ID","linedress","linedressed","linedressed_detor","detour_trial","problems","smooth","distraction","strategies","easier","similar","comments"
"null","","learn_phase(without_color)","608298","","black_plus_sign","","","","null","GW/paint.jpg","GW/barrel.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","609137","","green","","","","null","GW/paint.jpg","GW/barrel.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"450.69999999995343","","rt_plussign_withcolor","609640","","green","","","","50","GW/paint.jpg","GW/barrel.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","610809","","black_plus_sign","","","","null","","","1","0.9777777777777777","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","610913","","black_plus_sign","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","613917","","black_plus_sign","","","","null","GW/snail.jpg","GW/soldier.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","614703","","green","","","","null","GW/snail.jpg","GW/soldier.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_plussign_withcolor","615206","","green","","","","null","GW/snail.jpg","GW/soldier.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"1015.4000000001397","","rt_thecrossant_black","616427","","black_plus_sign","","","","50","","","1","0.9782608695652174","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","616532","","black_plus_sign","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","619536","","black_plus_sign","","","","null","GW/basket.jpg","GW/dustpan.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","620126","","green","","","","null","GW/basket.jpg","GW/dustpan.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"409.89999999990687","","rt_plussign_withcolor","620628","","green","","","","50","GW/basket.jpg","GW/dustpan.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","622045","","black_plus_sign","","","","null","","","1","0.9787234042553191","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","622149","","black_plus_sign","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","625154","","black_plus_sign","","","","null","GW/paint.jpg","GW/barrel.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","626244","","blue","","","","null","GW/paint.jpg","GW/barrel.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"441.19999999995343","","rt_plussign_withcolor","626747","","blue","","","","49","GW/paint.jpg","GW/barrel.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","rt_thecrossant_black","627664","","black_plus_sign","","","","null","","","1","0.9791666666666666","","","","","","","","","","","","","","","","","","","","","",""
"null","","color_black","627768","","black_plus_sign","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","630772","","black_plus_sign","","","","null","GW/soldier.jpg","GW/snail.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","black_cross(without_color)","631223","","blue","","","","null","GW/soldier.jpg","GW/snail.jpg","","","","","","","","","","","","","","","","","","","","","","","",""
