"rt","responses","trial_type","time_elapsed","stimulus","button_pressed","key_press","stimulus_left","stimulus_right","cumulative_accuracy","accuracy","stimulus_down_left","stimulus_down_mid","stimulus_down_right","stimulus_correct","stimulus_short","stimulus_far","weighted_accuracy","missedtrial","condition"
"null","","rt_plussign_withcolor","713928","blue","","null","GW/cake.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"1333.7000000001863","","rt_thecrossant_black","715192","black_plus_sign","","49","","","0.8301886792452831","1","","","","","","","","",""
"null","","color_black","715295","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","717300","black_plus_sign","","null","GW/oven.jpg","GW/picnic_basket.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","717951","blue","","null","GW/oven.jpg","GW/picnic_basket.jpg","","","","","","","","","","",""
"231.1999999997206","","rt_plussign_withcolor","718455","blue","","49","GW/oven.jpg","GW/picnic_basket.jpg","","","","","","","","","","",""
"null","","rt_thecrossant_black","719811","black_plus_sign","","49","","","0.8317757009345794","1","","","","","","","","",""
"null","","color_black","719915","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","721920","black_plus_sign","","null","GW/mailbox.jpg","GW/oven.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","722498","blue","","null","GW/mailbox.jpg","GW/oven.jpg","","","","","","","","","","",""
"453.89999999990687","","rt_plussign_withcolor","723000","blue","","49","GW/mailbox.jpg","GW/oven.jpg","","","","","","","","","","",""
"null","","rt_thecrossant_black","724429","black_plus_sign","","49","","","0.8333333333333334","1","","","","","","","","",""
"null","","color_black","724533","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","726538","black_plus_sign","","null","GW/cake.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","727346","blue","","null","GW/cake.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"null","","rt_plussign_withcolor","727850","blue","","null","GW/cake.jpg","GW/rocking_chair.jpg","","","","","","","","","","",""
"710.8999999999069","","rt_thecrossant_black","729048","black_plus_sign","","49","","","0.8348623853211009","1","","","","","","","","",""
"null","","color_black","729152","black_plus_sign","","null","","","","","","","","","","","","",""
"null","","learn_phase(without_color)","731157","black_plus_sign","","null","GW/cake.jpg","GW/couch.jpg","","","","","","","","","","",""
"null","","black_cross(without_color)","731896","green","","null","GW/cake.jpg","GW/couch.jpg","","","","","","","","","","",""
"358.60000000009313","","rt_plussign_withcolor","732400","green","","49","GW/cake.jpg","GW/couch.jpg","","","","","","","","","","",""
